Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Unai Goti,2000065885,10.18,7.5,7.5,7.77,7.13,7.13,6.94,6.56,6.56,6.69,6.46,6.46,6.65,6.32
Víctor Dieste,2000440740,11.8,10.69,10.69,10.83,10.19,10.19,10.47,9.71,9.71,10.05,9.69,9.69,9.59,8.99
Rafa Gálvez,67172424,9.46,9.39,9.39,10.19,8.81,8.81,9.68,8.61,8.61,9.56,8.3,8.3,8.88,8.93
Iván Bravo,67276128,10.69,10.75,10.75,10.96,10.6,10.6,10.32,10.11,10.11,9.95,10.31,10.31,9.84,9.75
Mikel Kortazar,67260193,8.89,8.89,8.89,7.78,9.44,9.44,8.64,9.8,9.8,9.18,9.96,9.96,9.6,9.36
Àlex Rico,67295759,11.1,10.42,10.42,10.18,10.3,10.3,10.74,10.14,10.14,10.64,10.1,10.1,10.52,9.57
Fran Manzanara,67211715,10.77,10.44,10.44,10.53,10.25,10.25,10.64,10.08,10.08,10.59,9.95,9.95,10.25,9.86
Omri Hemo,2000440760,11.88,10.86,10.86,10.18,11.01,11.01,10.68,11.14,11.14,11.02,11.29,11.29,11.35,10.83
Francisco Eduardo García,2000198830,8.18,8.25,8.25,6.89,8.94,8.94,7.88,9.73,9.73,9.04,10.19,10.19,9.88,10.06
Victor Pérez,2000572055,9.76,9.74,9.74,9.28,10.14,10.14,9.58,10.55,10.55,10.06,10.67,10.67,10.54,10.7
Ewan,67276233,9.75,9.37,9.37,8.81,9.75,9.75,9.31,10.29,10.29,9.92,10.4,10.4,10.53,10.94
Jorge Sangalli,2000202624,6.96,3.99,3.99,4.36,3.29,3.29,3.84,2.98,2.98,3.23,2.65,2.65,2.98,2.69
Gael Alonso,67294882,10.68,9.78,9.78,10.35,9.38,9.38,9.39,8.86,8.86,8.6,8.99,8.99,8.71,8.81
Alberto Cañizares,2000571806,10.27,10.06,10.06,9.73,10.09,10.09,10.22,10.19,10.19,10.73,10.02,10.02,10.55,10.0
Lorenzo,2000714638,8.99,8.57,8.57,7.3,9.1,9.1,8.03,9.61,9.61,8.95,9.9,9.9,9.79,10.02
Miguel Fernández,67263770,9.98,9.98,9.98,9.36,10.3,10.3,10.04,10.58,10.58,10.61,10.61,10.61,10.69,10.31
Alberto Pereira,2000683136,7.71,7.84,7.84,8.81,7.28,7.28,7.59,6.22,6.22,6.79,6.19,6.19,6.34,6.04
Francisco Tena,67211549,5.02,4.99,4.99,5.28,4.81,4.81,5.28,4.77,4.77,5.23,4.61,4.61,4.95,4.67
Álex Petxarromán,67246376,10.46,9.67,9.67,10.13,9.3,9.3,9.59,8.94,8.94,9.15,8.93,8.93,8.89,8.4
Juan Carlos Chasco,2000574123,3.85,5.87,5.87,4.89,6.63,6.63,5.76,6.64,6.64,6.51,6.91,6.91,6.76,6.16
Jordi Prats,2000202599,4.35,2.77,2.77,2.73,2.41,2.41,2.71,2.42,2.42,2.6,2.2,2.2,2.4,2.15
