Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Álvaro Fernández,67262229,10.48,7.99,7.99,8.05,7.74,7.74,7.62,7.38,7.38,7.54,7.35,7.35,7.59,7.1
Borja Esnaola,2000438807,11.09,9.84,9.84,10.7,9.18,9.18,9.43,8.31,8.31,8.64,8.26,8.26,8.35,8.04
Francisco Javier García,2000442254,11.48,10.53,10.53,10.81,10.17,10.17,10.1,9.6,9.6,9.88,9.8,9.8,9.87,9.63
Fernando Juan,2000198639,11.82,10.89,10.89,11.45,10.42,10.42,10.54,9.82,9.82,10.11,9.9,9.9,9.89,9.79
Álex Pérez,2000020028,10.91,10.36,10.36,10.32,10.19,10.19,10.4,9.8,9.8,10.21,9.91,9.91,10.11,9.43
Mohamed Gallar,2000444071,8.74,9.45,9.45,9.78,9.31,9.31,9.47,8.48,8.48,9.01,8.35,8.35,8.58,8.67
Álvaro Fortes,2000443308,11.28,10.91,10.91,11.35,10.49,10.49,10.62,9.74,9.74,10.16,9.78,9.78,9.88,9.26
David Alfonso,67244455,6.47,6.95,6.95,5.5,7.69,7.69,6.67,8.54,8.54,7.86,8.94,8.94,8.42,8.16
Julio Delgado,67221282,9.12,9.02,9.02,7.61,9.72,9.72,8.99,10.42,10.42,9.57,10.61,10.61,10.11,9.58
Chiquinho,83169933,9.99,9.46,9.46,8.8,9.8,9.8,9.22,10.04,10.04,9.55,10.22,10.22,10.08,9.94
Víctor Socorro,67277518,9.74,9.77,9.77,9.28,10.11,10.11,9.4,10.3,10.3,9.97,10.73,10.73,10.59,11.13
Pedro Manuel Peña,2000665371,7.14,5.6,5.6,5.8,5.52,5.52,5.26,5.3,5.3,5.21,5.42,5.42,5.29,5.31
Andrés Alcántara,2000440886,10.68,10.15,10.15,10.08,9.96,9.96,9.87,9.31,9.31,9.52,9.41,9.41,9.32,8.47
Pep,2000198640,11.22,10.39,10.39,10.61,10.02,10.02,10.43,9.88,9.88,10.39,9.67,9.67,10.05,9.59
Serafín Godoy,2000202566,8.05,8.58,8.58,7.23,9.26,9.26,8.16,9.68,9.68,9.28,10.21,10.21,9.9,9.17
Pablo Jurado,2000681314,7.11,7.43,7.43,8.55,6.86,6.86,7.25,6.04,6.04,6.57,6.09,6.09,6.02,6.24
David Luna,67261047,9.96,9.47,9.47,9.92,9.03,9.03,8.95,8.3,8.3,8.35,8.66,8.66,8.25,8.27
Abel Pascual,67215623,11.08,9.96,9.96,10.79,9.35,9.35,9.72,8.65,8.65,9.14,8.67,8.67,8.83,8.75
Diego Ceballos,67269375,11.54,11.07,11.07,10.93,10.99,10.99,10.88,10.96,10.96,10.89,11.07,11.07,10.9,10.54
Isra Cano,2000065444,7.77,7.5,7.5,6.31,7.88,7.88,7.49,8.58,8.58,8.76,8.76,8.76,9.11,8.27
Isaiah,2000194472,10.73,9.27,9.27,9.83,8.59,8.59,8.93,7.81,7.81,8.04,7.82,7.82,7.73,7.85
Alain Garai,2000679842,4.61,5.86,5.86,5.09,6.8,6.8,5.71,7.17,7.17,6.86,7.82,7.82,7.53,7.43
Gorka Arrizabalaga,2000683360,5.75,6.95,6.95,5.89,7.57,7.57,6.97,8.13,8.13,8.2,8.23,8.23,8.51,8.15
