Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Pablo,2000193992,12.85,10.59,10.59,10.42,10.32,10.32,10.02,9.83,9.83,10.03,9.9,9.9,10.14,9.24
Óscar Gil,67227188,13.17,12.93,12.93,12.64,12.98,12.98,12.56,12.55,12.55,12.55,12.71,12.71,12.37,11.81
Alejandro Francés,67281886,14.16,13.67,13.67,13.7,13.49,13.49,13.47,13.06,13.06,13.16,13.1,13.1,13.06,12.64
Arkadiusz Marciniak,2000232548,13.74,13.14,13.14,13.54,12.72,12.72,12.68,12.0,12.0,12.07,12.16,12.16,11.99,11.96
Alejandro Balde,67296654,12.74,12.41,12.41,12.02,12.6,12.6,12.31,12.64,12.64,12.3,12.77,12.77,12.48,12.16
Ismaïla Sarr,48042766,12.28,11.82,11.82,10.93,12.24,12.24,11.62,12.63,12.63,12.2,12.87,12.87,12.64,12.48
Francho,67278162,13.18,13.07,13.07,12.93,13.1,13.1,13.14,12.83,12.83,13.2,12.96,12.96,13.12,12.66
Dídac,2000437768,13.26,12.66,12.66,12.32,12.69,12.69,12.48,12.58,12.58,12.78,12.74,12.74,12.98,12.96
Ruben Vargas,98041215,12.61,12.43,12.43,11.55,12.73,12.73,12.47,13.2,13.2,12.94,13.22,13.22,13.16,12.81
Jorge Cañadas,2000511078,12.45,12.43,12.43,11.99,12.73,12.73,12.18,13.06,13.06,12.9,13.23,13.23,13.17,13.42
Fernando Silva,2000439540,12.84,12.74,12.74,11.56,13.21,13.21,12.37,13.62,13.62,12.9,14.02,14.02,13.64,13.55
Martín Merino,2000201919,10.93,8.1,8.1,8.37,7.39,7.39,7.7,7.12,7.12,7.37,6.77,6.77,7.39,6.71
Eric Kahl,93142833,13.33,12.98,12.98,12.65,13.06,13.06,12.72,12.86,12.86,12.77,12.96,12.96,12.85,12.3
Renato Adriano,2000411533,12.88,12.92,12.92,12.6,12.96,12.96,13.03,12.7,12.7,13.32,12.63,12.63,13.22,12.32
Luis Carbonell,95078291,12.15,11.91,11.91,11.2,12.28,12.28,12.0,12.6,12.6,12.41,12.7,12.7,12.76,12.54
Javi Mas,2000511079,12.68,12.79,12.79,12.53,12.91,12.91,12.82,12.95,12.95,13.1,13.07,13.07,13.2,12.81
Quique Clemente,67246261,13.74,13.34,13.34,13.36,13.23,13.23,13.27,12.99,12.99,13.16,13.04,13.04,13.06,12.56
Jesus Carrasco,2000439537,11.02,10.76,10.76,9.79,11.23,11.23,10.46,11.61,11.61,11.08,11.91,11.91,11.62,11.25
Malcom,19229435,12.51,12.1,12.1,10.9,12.72,12.72,12.08,13.34,13.34,12.83,13.46,13.46,13.42,12.91
Carles Aleñá,67213011,12.04,11.73,11.73,10.92,12.12,12.12,11.85,12.54,12.54,12.47,12.49,12.49,12.68,12.21
Marvin,67277459,10.85,10.61,10.61,9.49,11.06,11.06,10.48,11.42,11.42,10.88,11.7,11.7,11.43,10.89
Ander Imaz,2000439533,10.85,11.01,11.01,9.79,11.65,11.65,10.7,12.05,12.05,11.48,12.44,12.44,11.92,11.5
Francisco Jesús,2000511084,12.06,11.82,11.82,11.91,11.65,11.65,11.78,11.35,11.35,11.41,11.31,11.31,11.36,11.14
Vladimir Moldovan,2000570460,12.43,12.66,12.66,12.45,12.66,12.66,12.8,12.63,12.63,12.99,12.63,12.63,12.88,12.63
Jorge Tato,2000571897,11.18,11.26,11.26,10.4,11.66,11.66,10.81,11.89,11.89,11.4,12.22,12.22,11.92,11.98
